"Price","Name","Rooms","Area","Floor","Region","Year","Elevator"
"365 000 zł","Piękne odnowione mieszkanie Lublin, od ręki","2 pokoje","47.11 m²","2 piętro","Dziesiąta","1963","nie"
"665 000 zł","To Mieszkanie Kupisz Bez Wkładu Własnego !!","4 pokoje","83.89 m²","1 piętro","Czechów Południowy","1995","nie"
"379 000 zł","Przytulne 38m2 na ul. Kleeberga","2 pokoje","38 m²","6 piętro","Kalinowszczyzna","1980","tak"
"598 000 zł","52M2,Ul.granata Z Balkonem I Miejscem Postojowym.","2 pokoje","52.01 m²","2 piętro","Wrotków","2018","tak"
"569 000 zł","Piękne mieszkanie po remoncie , Niepodległości","4 pokoje","58 m²","parter","Kalinowszczyzna","brak informacji","nie"
"509 000 zł","Active City etap V  | mieszkanie 3-pok. | D1_2_05","3 pokoje","50.9 m²","2 piętro","Wrotków","2026","tak"
"670 000 zł","2 pokojowy Apartament w centrum, balkon, parking","2 pokoje","41.25 m²","2 piętro","Śródmieście","2024","tak"
"465 582 zł","Os. Lotników, pow. 49,53 m2, 2P z aneksem","2 pokoje","49.53 m²","1 piętro","Kośminek","2025","tak"
"Zapytaj o cenę","Mieszkanie M15, 100,67 mkw, 2 pokoje+aneks","2 pokoje","100.67 m²","parter","Kalinowszczyzna","2024","tak"
"Zapytaj o cenę","P1 Mieszkania  | mieszkanie 2-pok. | 0_5","2 pokoje","40.53 m²","parter","Śródmieście","2026","tak"
"Zapytaj o cenę","Kaczeńcova | mieszkanie 2-pok. | M.51","2 pokoje","45.51 m²","3 piętro","Czuby Północne","2026","nie"
"Zapytaj o cenę","Nowe mieszkanie w inw. Rezydencja Chabrowa | B.M24","3 pokoje","67.02 m²","3 piętro","Sławin","2022","tak"
"493 250 zł","Apartamenty Poligonowa Etap 5, M9","2 pokoje","39.46 m²","parter","Sławin","2026","nie"
